DEL NORTE 2E	maxt	mint	pcpn	snow
2016-09-22	77	45	0.04	0.0
2016-09-23	74	41	0.07	0.0
2016-09-24	67	27	0.00	0.0
2016-09-25	66	28	0.00	0.0
2016-09-26	71	33	0.00	0.0
2016-09-27	71	33	0.00	0.0
2016-09-28	73	33	0.00	0.0
2016-09-29	75	33	0.00	0.0
2016-09-30	72	42	0.00	0.0
2016-10-01	68	40	0.05	0.0
2016-10-02	70	39	0.00	0.0
2016-10-03	70	40	0.02	0.0
2016-10-04	65	27	0.00	0.0
2016-10-05	65	25	0.00	0.0
2016-10-06	60	26	0.00	0.0
2016-10-07	57	23	0.00	0.0
2016-10-08	60	24	0.00	0.0
2016-10-09	63	26	0.00	0.0
2016-10-10	57	32	0.00	0.0
2016-10-11	67	33	T	0.0
2016-10-12	67	29	0.00	0.0
2016-10-13	67	31	0.00	0.0
2016-10-14	69	32	0.00	0.0
2016-10-15	74	32	0.00	0.0
2016-10-16	74	35	0.00	0.0
2016-10-17	70	35	0.00	0.0
2016-10-18	70	31	0.00	0.0
2016-10-19	M	M	0.00	0.0
2016-10-20	M	23	0.00	0.0
2016-10-21	58	24	0.00	0.0
2016-10-22	64	25	0.00	0.0
2016-10-23	70	25	0.00	0.0
2016-10-24	69	36	0.00	0.0
2016-10-25	66	35	0.00	0.0
2016-10-26	64	33	T	0.0
2016-10-27	64	29	0.00	0.0
2016-10-28	66	31	0.00	0.0
2016-10-29	66	33	0.00	0.0
2016-10-30	69	36	0.00	0.0
2016-10-31	69	35	0.00	0.0
2016-11-01	66	32	0.00	0.0
2016-11-02	63	30	0.00	0.0
2016-11-03	59	31	0.00	0.0
2016-11-04	61	31	0.00	0.0
2016-11-05	59	30	0.07	0.0
2016-11-06	50	33	0.01	0.0
2016-11-07	57	31	0.00	0.0
2016-11-08	58	26	0.00	0.0
2016-11-09	58	25	0.00	0.0
2016-11-10	59	25	0.00	0.0
2016-11-11	62	27	0.00	0.0
2016-11-12	56	23	0.00	0.0
2016-11-13	58	27	0.00	0.0
2016-11-14	58	30	0.00	0.0
2016-11-15	62	23	0.00	0.0
2016-11-16	64	25	0.00	0.0
2016-11-17	45	14	0.00	0.0
2016-11-18	64	14	T	T
2016-11-19	39	13	0.00	0.0
2016-11-20	46	17	0.00	0.0
2016-11-21	52	17	0.00	0.0
2016-11-22	49	33	0.15	0.0
2016-11-23	47	22	0.00	0.0
2016-11-24	43	21	0.00	0.0
2016-11-25	48	15	0.00	0.0
2016-11-26	42	16	0.00	0.0
2016-11-27	41	16	0.25	3.0
2016-11-28	35	13	0.00	0.0
2016-11-29	34	8	0.00	0.0
2016-11-30	32	8	0.00	0.0
2016-12-01	32	8	0.00	0.0
2016-12-02	32	8	0.00	0.0
2016-12-03	28	9	T	T
2016-12-04	32	7	0.00	0.0
2016-12-05	33	9	0.00	0.0
2016-12-06	39	6	0.00	0.0
2016-12-07	38	7	T	T
2016-12-08	26	2	0.04	0.7
2016-12-09	26	3	0.00	0.0
2016-12-10	37	10	0.00	0.0
2016-12-11	46	11	0.00	0.0
2016-12-12	49	25	0.00	0.0
2016-12-13	49	25	0.00	0.0
2016-12-14	45	20	0.00	0.0
2016-12-15	51	24	0.00	0.0
2016-12-16	55	25	0.00	0.0
2016-12-17	48	29	0.41	1.2
2016-12-18	32	5	T	0.0
2016-12-19	24	5	0.00	0.0
2016-12-20	24	5	0.00	0.0
2016-12-21	31	6	0.00	0.0
2016-12-22	39	6	0.00	0.0
2016-12-23	32	18	0.19	2.4
2016-12-24	30	18	0.00	0.0
2016-12-25	27	18	0.03	0.6
2016-12-26	27	8	0.00	0.0
2016-12-27	27	5	0.00	0.0
2016-12-28	24	4	0.00	0.0
2016-12-29	31	7	0.00	0.0
2016-12-30	35	7	0.00	0.0
2016-12-31	27	7	0.00	0.0
2017-01-01	28	9	T	T
2017-01-02	27	14	T	T
2017-01-03	27	9	0.00	0.0
2017-01-04	29	9	0.00	0.0
2017-01-05	40	9	T	T
2017-01-06	42	4	0.51	7.6
